stud num	score	group num
40823241	60	3
40923137	60	0
41023101	70	1
41023131	70	1
41023141	70	1
41127151		
41223101	65	1
41223102	60	6
41223103	60	6
41223104	64	1
41223105	60	1
41223106	65	1
41223107	62	2
41223108	65	2
41223110	76	4
41223111	60	6
41223112	70	2
41223113	85	6
41223114	75	6
41223116	70	6
41223117	80	3
41223118	66	6
41223119	90	3
41223120	60	1
41223121	70	3
41223122	70	3
41223123	70	2
41223124		
41223125	65	6
41223126	70	3
41223127		
41223128	70	4
41223129	70	4
41223130	70	4
41223131	75	3
41223132	80	3
41223133	80	3
41223134	65	4
41223135	80	4
41223136	75	2
41223137	92	4
41223138	80	4
41223139	80	4
41223140	80	5
41223141	70	2
41223142	80	5
41223143	79	5
41223144	75	5
41223145	60	5
41223146	70	2
41223147	75	5
41223148	75	5
41223149	75	5
41223150	60	5
41223152	70	2
41223153	60	1
